x (mm),y (mm),Spec 11000000.0Hz,Spec 12000000.0Hz,Spec 13000000.0Hz
112.244171625,35.500008375,(-15678.05348656419-4834.256739655083j),(-6946.41931371695-7902.632298367676j),(-1190.613780513369-7661.017825021077j)
112.03590750000001,35.500008375,(-15728.540593625781-4647.9478341566155j),(-7045.389625766726-7816.926116786321j),(-1291.4514005670412-7643.381967558653j)
111.82435725,35.500008375,(-15679.773117805145-4831.017970584036j),(-6944.700496722082-7900.264194148565j),(-1188.5452199988913-7660.0099181766445j)
111.60890175,35.500008375,(-15678.001811656844-4831.865542474938j),(-6945.131523658807-7905.468718204776j),(-1190.5091404181248-7661.361259372032j)
111.40430475000001,35.500008375,(-15733.803125235698-4651.77758129481j),(-7042.701435423967-7814.976200371224j),(-1294.6846837783512-7639.966572669012j)
111.192945,35.500008375,(-15304.947196362471-5899.052343643507j),(-6332.264577809907-8403.159398413067j),(-561.6428560834584-7731.345510642999j)
110.974012875,35.500008375,(-15173.745186888798-6254.604961562498j),(-6122.223459264635-8564.384799100124j),(-350.76732179859994-7747.689243272873j)
110.74307925000001,35.500008375,(-15788.161153167955-4472.865893004287j),(-7141.773880329043-7726.175380564305j),(-1398.330484291721-7626.724591627528j)
110.52786187500001,35.500008375,(-15833.357371374166-4287.031154243226j),(-7238.795128996506-7634.611641976247j),(-1503.353260579926-7604.569395826296j)
110.295737625,35.500008375,(-15830.648954783886-4287.8238140512985j),(-7236.858702063328-7633.504425866467j),(-1503.828813477165-7603.337250247492j)
110.07623400000001,35.500008375,(-15678.499569215164-4833.8833871078605j),(-6947.641676796988-7904.204259699793j),(-1189.901881415215-7660.622663887276j)
109.86663637500001,35.500008375,(-15163.682645972349-6252.2704092477725j),(-6116.431508901242-8558.79947968465j),(-351.20948621024866-7744.00600777294j)
109.655276625,35.500008375,(-15236.309151137833-6080.0888301523155j),(-6224.690191373831-8481.375928125282j),(-457.5278422347965-7736.077166436032j)
109.44158325000001,35.500008375,(-15735.624574477071-4650.525993108022j),(-7045.025222319053-7815.498496592576j),(-1293.1186500838583-7642.882470732064j)
109.23136650000001,35.500008375,(-15728.285443057808-4656.841683947427j),(-7046.568737565018-7814.527390053378j),(-1295.3975025731452-7643.174791348978j)
109.00233787500001,35.500008375,(-15564.540484673695-5189.151168806442j),(-6744.916474860259-8074.891767348789j),(-981.0620705034896-7689.957812539937j)
108.78554887500002,35.500008375,(-15567.253520253314-5193.912358858933j),(-6746.687986335646-8077.855155924273j),(-981.4891087612339-7689.553673406557j)
108.569331375,35.500008375,(-15559.093229344257-5192.887340549518j),(-6745.457296293372-8076.469228261892j),(-979.6229621112786-7690.4184064453j)
108.35859075,35.500008375,(-15168.91283186608-6254.379905824108j),(-6117.0909707929895-8560.853222827373j),(-350.12106815002386-7743.310885951833j)
108.15532725,35.500008375,(-15566.11870340794-5190.644365487585j),(-6747.221236973557-8076.32702978108j),(-982.191843292078-7692.602910968697j)
107.94592012500001,35.500008375,(-15621.208936086909-5008.871082408912j),(-6844.76718241463-7992.221637449687j),(-1084.662284782209-7676.808379727833j)
107.70412800000001,35.500008375,(-15498.04393578296-5369.317051877692j),(-6640.41553502398-8159.884195781622j),(-876.4979081979193-7703.650869459186j)
107.491387125,35.500008375,(-15304.63580858946-5902.764282759441j),(-6330.423601270047-8401.737010747242j),(-562.1100018532093-7730.362007568335j)
107.279836875,35.500008375,(-15236.199998839791-6075.700358392517j),(-6224.827633666275-8481.774256835797j),(-458.01131083962645-7736.784425621344j)
107.04271200000001,35.500008375,(-15439.964706108723-5549.909636579254j),(-6542.073671601245-8244.419518470168j),(-771.7358188323742-7713.765994275827j)
106.82454187500001,35.500008375,(-15676.869794469374-4831.536109745963j),(-6944.856669402901-7903.383608573825j),(-1188.389506703936-7657.808858084552j)
106.562223375,35.500008375,(-15835.003304056794-4287.0570703541725j),(-7239.126509260544-7634.459320180869j),(-1501.1607569566995-7603.23073320162j)
106.326051,35.500008375,(-15441.386442908075-5551.442218497683j),(-6540.277774612522-8245.875334489152j),(-771.8810385780944-7715.16796731246j)
106.11392925,35.500008375,(-15783.3614800417-4467.825540332864j),(-7139.837685478036-7725.0408163378725j),(-1397.201289180911-7622.649738917817j)
105.844609875,35.500008375,(-15623.777184641589-5011.533185035993j),(-6847.424097544124-7991.203833147129j),(-1086.1984234588226-7674.668772086479j)
105.634393125,35.500008375,(-15781.663158158643-4465.282440531779j),(-7141.487043479934-7723.102437682255j),(-1398.4841282310404-7623.560323711383j)
105.427891125,35.500008375,(-15785.712109582668-4468.308816883653j),(-7141.322381608656-7724.815205393827j),(-1398.8138500575574-7623.803465838386j)
105.246344625,35.500008375,(-15439.988534504013-5545.163998270266j),(-6541.471710939841-8240.524233560638j),(-772.4351576797758-7713.0106641959055j)
105.03284175,35.500008375,(-15237.343202832637-6074.254221222647j),(-6225.0042250812785-8482.100849749408j),(-457.42792138763326-7737.748004508594j)
104.78643,35.500008375,(-15503.95371824156-5368.537352074003j),(-6642.450394148224-8157.595878000336j),(-877.0218552875242-7702.717053531628j)
104.550829125,35.500008375,(-15308.74678197517-5898.8728547219425j),(-6331.878889483727-8405.257418347466j),(-563.3412638695513-7732.859372956074j)
104.34004087500001,35.500008375,(-15509.004155843002-5373.075258089788j),(-6643.199197858833-8163.967365233366j),(-876.6170424983507-7703.202141483994j)
104.137206,35.500008375,(-15166.706805516204-6251.523767935874j),(-6116.901706995101-8559.14127652656j),(-352.4257464251407-7744.025023275215j)
103.953135375,35.500008375,(-15310.333091525357-5903.7108207684305j),(-6329.849565759749-8406.763048858018j),(-558.9078580750456-7733.102416231592j)
103.71891562500001,35.500008375,(-15243.535448206454-6081.989742212749j),(-6225.984695207506-8486.120962522933j),(-457.05340165453197-7738.839714937013j)
103.50426975,35.500008375,(-15238.57738139966-6079.226333350869j),(-6225.567998866722-8482.265137258022j),(-459.1003109258653-7739.188534406694j)
103.29967275,35.500008375,(-15310.36066473769-5903.143075893261j),(-6332.703742089826-8403.838495764841j),(-561.3983919568511-7732.608727786145j)
103.075692375,35.500008375,(-15786.080452341765-4471.0559744712955j),(-7141.6340275370585-7726.426540369676j),(-1396.9675021983103-7625.768406079142j)
102.84013912500001,35.500008375,(-15733.758401128338-4647.778118958881j),(-7043.523978739347-7814.496210062366j),(-1294.097764977327-7642.982789048997j)
102.6328275,35.500008375,(-15563.420959377165-5193.475389756975j),(-6746.337294533934-8072.957792228428j),(-978.8663986217408-7687.510001093003j)
102.39646462500001,35.500008375,(-15378.80434826059-5726.604276518589j),(-6436.628090182937-8324.479950804247j),(-668.2000081385635-7721.960497237436j)
102.18391425,35.500008375,(-15790.275944947842-4472.250561718715j),(-7143.988537998208-7725.343926547652j),(-1399.7818247118728-7625.540068296408j)
101.94274125000001,35.500008375,(-15503.012188000659-5372.374629834454j),(-6646.3447697985575-8159.71535631981j),(-878.3317890980506-7702.084070706998j)
101.734477125,35.500008375,(-15791.763097252784-4468.216235215723j),(-7146.789650964307-7727.756794891667j),(-1398.247552761945-7625.788349193208j)
101.52230775000001,35.500008375,(-15733.145079250493-4648.589215823935j),(-7046.203763941315-7813.21733001865j),(-1296.3059042289617-7640.86876015088j)
101.31794887500001,35.500008375,(-15501.995740624236-5369.046271598263j),(-6642.3302375595285-8157.922340783414j),(-877.5918058275656-7701.188778698397j)
101.07615675000001,35.500008375,(-15680.014197355224-4831.340966558198j),(-6946.416236181292-7901.531509488814j),(-1192.1565057839462-7659.800517780935j)
100.841127375,35.500008375,(-15311.163815730808-5902.754966586641j),(-6331.456446811119-8405.478567646158j),(-562.2608046305035-7732.885232738576j)
100.59933525000001,35.500008375,(-15311.271450019882-5899.583867892547j),(-6333.398399430542-8402.807426059457j),(-564.6291290244487-7733.24200565654j)
100.388547,35.500008375,(-15625.811043776477-5017.413100350682j),(-6847.462770321518-7990.005340266673j),(-1086.8974948315895-7676.612919798448j)
100.151422125,35.500008375,(-15436.042466909577-5550.541003916981j),(-6541.650540122928-8238.468242691471j),(-770.9529732562978-7711.364220961921j)
99.91777387500001,35.500008375,(-15567.754042970566-5194.622883994884j),(-6747.203398888617-8078.489487064306j),(-979.7375480342031-7690.656902913459j)
99.66455175000002,35.500008375,(-15789.544317649848-4471.352462423189j),(-7143.9250766271325-7728.5584243773665j),(-1398.4610034437478-7625.814926272313j)
99.45938325,35.500008375,(-15103.711314310734-6431.119063027896j),(-6013.587977810934-8638.494859697556j),(-244.76943016829335-7752.8928439941865j)
99.192445125,35.500008375,(-15504.664579987306-5370.366786770395j),(-6641.9738942526365-8160.24699795086j),(-876.7766329339602-7701.524968968197j)
98.98299037500001,35.500008375,(-15737.605888006085-4648.381917990547j),(-7049.92721199769-7816.22019621641j),(-1293.1616229006263-7645.083246008362j)
98.7359595,35.500008375,(-15567.39194745465-5192.670711694793j),(-6748.377652031415-8077.3158553016j),(-981.0780620667076-7690.215940936403j)
98.4624015,35.500008375,(-15566.169505230766-5191.205912875006j),(-6746.025572011928-8073.130316147732j),(-981.3100750202959-7689.793167892899j)
98.22646725,35.500008375,(-15730.09824209032-4646.52561728412j),(-7045.436873229023-7813.398624993568j),(-1295.491514033407-7641.780939718188j)
98.0162505,35.500008375,(-15681.564577990044-4834.537154980444j),(-6944.475553707989-7904.635803925506j),(-1190.4431581445567-7661.884477099407j)
97.808557875,35.500008375,(-15836.86680705648-4281.590076979248j),(-7240.834798662672-7634.798438395063j),(-1502.76872070929-7606.494318002956j)
97.599103125,35.500008375,(-15502.55783693007-5369.498152887694j),(-6643.017808794701-8159.370427789004j),(-876.2641039030966-7701.337623746295j)
97.353834375,35.500008375,(-15840.008139058047-4284.802926487404j),(-7242.684522151071-7637.662645106549j),(-1503.4698894661474-7604.295833451151j)
97.149285,35.500008375,(-15841.012454851949-4286.354356481074j),(-7241.789679430345-7637.078374775011j),(-1502.5672658120054-7610.239309815409j)
96.93654412500001,35.500008375,(-15309.348976997964-5902.731533383149j),(-6329.702458699292-8404.391033999877j),(-562.3312002146233-7731.988547279318j)
96.696895125,35.500008375,(-15174.588700634078-6254.469227224092j),(-6119.52650547031-8559.148702406146j),(-352.5269803208677-7744.179396247403j)
96.4777725,35.500008375,(-15443.528891933018-5543.319727549344j),(-6541.223876253185-8240.890850829506j),(-775.4646097410669-7714.651291134507j)
96.2392665,35.500008375,(-15565.951706459366-5192.166522303745j),(-6746.879510487262-8077.480026943196j),(-981.1161871499751-7687.88564792185j)
96.00618975000002,35.500008375,(-15679.196099199311-4827.2332645851275j),(-6947.846034617847-7905.250275896789j),(-1189.4715368829243-7659.509341779249j)
95.76268312500001,35.500008375,(-15442.304303935454-5550.993178530272j),(-6542.0338683754135-8241.698126742767j),(-772.6138266905086-7716.069567852097j)
95.51836687500001,35.500008375,(-15685.050679066306-4830.909497671413j),(-6947.193477193815-7899.793932344273j),(-1190.993880022042-7660.901223390018j)
